,milano,roma,napoli,torino,palermo,genova,bologna,firenze,bari,catania
milano,1.0,0.9951732237778368,0.9900518116502497,0.9907131875564744,0.9352080872418037,0.9667489640121094,0.9781576148783001,0.9619706764677374,0.9190692377522675,0.8551301613500474
roma,0.9951732237778368,1.0,0.9986862935163296,0.9991831528541084,0.9645329963617894,0.9867228367415184,0.9936414891633205,0.9836794805614031,0.9517824611621778,0.8972892785845683
napoli,0.9900518116502497,0.9986862935163296,1.0,0.9993929858091679,0.9729129004631597,0.9917373526547648,0.9966503141136801,0.9889780696809136,0.96170462561967,0.9123553051796485
torino,0.9907131875564744,0.9991831528541084,0.9993929858091679,1.0,0.9736911192412686,0.9921566223647403,0.9971268986966558,0.9896986727069932,0.9622711158928016,0.9117248263261826
palermo,0.9352080872418037,0.9645329963617894,0.9729129004631597,0.9736911192412686,1.0,0.9939795289039967,0.9877841735811027,0.9954973013160969,0.9977986148227215,0.9758966510138403
genova,0.9667489640121094,0.9867228367415184,0.9917373526547648,0.9921566223647403,0.9939795289039967,1.0,0.9986331889365646,0.9994285523977685,0.9882253218283095,0.9538723410494314
bologna,0.9781576148783001,0.9936414891633205,0.9966503141136801,0.9971268986966558,0.9877841735811027,0.9986331889365646,1.0,0.9975390478729613,0.9797523733976288,0.9384911767956521
firenze,0.9619706764677374,0.9836794805614031,0.9889780696809136,0.9896986727069932,0.9954973013160969,0.9994285523977685,0.9975390478729613,1.0,0.9903950311548043,0.9569847800933334
bari,0.9190692377522675,0.9517824611621778,0.96170462561967,0.9622711158928016,0.9977986148227215,0.9882253218283095,0.9797523733976288,0.9903950311548043,1.0,0.9865737218658136
catania,0.8551301613500474,0.8972892785845683,0.9123553051796485,0.9117248263261826,0.9758966510138403,0.9538723410494314,0.9384911767956521,0.9569847800933334,0.9865737218658136,1.0
