,milano,roma,napoli,torino,palermo,genova,bologna,firenze,bari,catania
milano,1.0,0.9957517546089503,0.9859905108138746,0.9890112855634196,0.9194379860884366,0.9542486331086201,0.967058679289268,0.9458915712813504,0.9078738675605471,0.8527729053482493
roma,0.9957517546089503,1.0,0.9967467191491189,0.9982982188768493,0.9497681933990512,0.976711935813205,0.9855974783938315,0.9705561831782553,0.9402278926897567,0.8918194846058338
napoli,0.9859905108138746,0.9967467191491189,1.0,0.9992976070891199,0.9696362255624155,0.9896402174474915,0.9950262523923007,0.9851410638231906,0.9622302442570712,0.922341928111202
torino,0.9890112855634196,0.9982982188768493,0.9992976070891199,1.0,0.9654572219509634,0.987188631030894,0.9933619451666559,0.9824107494061532,0.9573716661729944,0.9140085280311391
palermo,0.9194379860884366,0.9497681933990512,0.9696362255624155,0.9654572219509634,1.0,0.9941732260010815,0.9887291408468173,0.9966484271479146,0.9990641552684411,0.9849668808817216
genova,0.9542486331086201,0.976711935813205,0.9896402174474915,0.987188631030894,0.9941732260010815,1.0,0.9988177301640552,0.9993963534600506,0.990830493861127,0.9653555054105669
bologna,0.967058679289268,0.9855974783938315,0.9950262523923007,0.9933619451666559,0.9887291408468173,0.9988177301640552,1.0,0.9971754051173163,0.9840982320327947,0.9537575981369937
firenze,0.9458915712813504,0.9705561831782553,0.9851410638231906,0.9824107494061532,0.9966484271479146,0.9993963534600506,0.9971754051173163,1.0,0.9941446035625368,0.9714083656127959
bari,0.9078738675605471,0.9402278926897567,0.9622302442570712,0.9573716661729944,0.9990641552684411,0.990830493861127,0.9840982320327947,0.9941446035625368,1.0,0.9902564212614239
catania,0.8527729053482493,0.8918194846058338,0.922341928111202,0.9140085280311391,0.9849668808817216,0.9653555054105669,0.9537575981369937,0.9714083656127959,0.9902564212614239,1.0
