city,r2_score,n_connections,linked_cities,active_functions
Roma,0.9999,2,Milano; Torino,weighted_add
Bologna,0.9999,3,Firenze; Milano; Napoli,max; weighted_add; weighted_add
Genova,0.9998,4,Bologna; Firenze; Napoli; Roma,avg; avg; weighted_add; avg
Torino,0.9996,1,Milano,
Firenze,0.9995,3,Milano; Napoli; Roma,avg; weighted_add
Bari,0.9994,2,Genova; Roma,weighted_add
Palermo,0.999,2,Genova; Napoli,weighted_add
Napoli,0.9988,1,Torino,
Catania,0.9984,3,Bari; Genova; Napoli,min; weighted_add; min; max
Milano,0.9903,1,Roma,
