city_1,city_2,connection_strength_R2,is_significant,is_ground_truth,classification
Milano,Roma,0.9999,True,False,FP
Roma,Torino,0.9999,True,False,FP
Bologna,Firenze,0.9999,True,True,TP
Bologna,Milano,0.9999,True,True,TP
Bologna,Napoli,0.9999,True,False,FP
Bologna,Genova,0.9998,True,False,FP
Firenze,Genova,0.9998,True,False,FP
Genova,Napoli,0.9998,True,False,FP
Genova,Roma,0.9998,True,False,FP
Milano,Torino,0.9996,True,True,TP
Firenze,Milano,0.9995,True,False,FP
Firenze,Napoli,0.9995,True,False,FP
Firenze,Roma,0.9995,True,True,TP
Bari,Genova,0.9994,True,False,FP
Bari,Roma,0.9994,True,False,FP
Genova,Palermo,0.999,True,False,FP
Napoli,Palermo,0.999,True,True,TP
Napoli,Torino,0.9988,True,False,FP
Bari,Catania,0.9984,True,True,TP
Catania,Genova,0.9984,True,False,FP
Catania,Napoli,0.9984,True,False,FP
