data,infected_Agrigento,infected_Alessandria,infected_Ancona,infected_Aosta,infected_Arezzo,infected_Ascoli_Piceno,infected_Asti,infected_Avellino,infected_Bari,infected_Barletta-Andria-Trani,infected_Belluno,infected_Benevento,infected_Bergamo,infected_Biella,infected_Bologna,infected_Bolzano,infected_Brescia,infected_Brindisi,infected_Cagliari,infected_Caltanissetta,infected_Campobasso,infected_Caserta,infected_Catania,infected_Catanzaro,infected_Chieti,infected_Como,infected_Cosenza,infected_Cremona,infected_Crotone,infected_Cuneo,infected_Enna,infected_Fermo,infected_Ferrara,infected_Firenze,infected_Foggia,infected_Forlì-Cesena,infected_Frosinone,infected_Genova,infected_Gorizia,infected_Grosseto,infected_Imperia,infected_Isernia,infected_L'Aquila,infected_La_Spezia,infected_Latina,infected_Lecce,infected_Lecco,infected_Livorno,infected_Lodi,infected_Lucca,infected_Macerata,infected_Mantova,infected_Massa_Carrara,infected_Matera,infected_Messina,infected_Milano,infected_Modena,infected_Monza_e_della_Brianza,infected_Napoli,infected_Novara,infected_Nuoro,infected_Oristano,infected_Padova,infected_Palermo,infected_Parma,infected_Pavia,infected_Perugia,infected_Pesaro_e_Urbino,infected_Pescara,infected_Piacenza,infected_Pisa,infected_Pistoia,infected_Pordenone,infected_Potenza,infected_Prato,infected_Ragusa,infected_Ravenna,infected_Reggio_di_Calabria,infected_Reggio_nell'Emilia,infected_Rieti,infected_Rimini,infected_Roma,infected_Rovigo,infected_Salerno,infected_Sassari,infected_Savona,infected_Siena,infected_Siracusa,infected_Sondrio,infected_Sud_Sardegna,infected_Taranto,infected_Teramo,infected_Terni,infected_Torino,infected_Trapani,infected_Trento,infected_Treviso,infected_Trieste,infected_Udine,infected_Varese,infected_Venezia,infected_Verbano-Cusio-Ossola,infected_Vercelli,infected_Verona,infected_Vibo_Valentia,infected_Vicenza,infected_Viterbo
2021-01-01 17:00:00,3926,17528,11877,7023,10674,5217,9933,8952,35691,10593,14859,4700,28375,6840,38993,29764,42422,6656,7060,4016,4328,34942,27875,3416,7401,34117,7301,14551,2210,27393,3339,4934,9271,33721,20341,12518,14056,35408,6189,4208,6438,2255,11100,8308,14555,7170,13422,8704,10712,12630,9183,16572,7707,3566,11011,174813,30775,48472,116250,15522,6280,2542,46786,25870,12742,24942,21220,9627,7242,15050,16779,10493,10778,7076,10438,6927,13047,9113,23828,5103,14835,118740,7641,25991,10452,7593,5008,5651,8652,5144,11287,9524,6759,104638,6151,22033,50689,10768,22379,51943,39824,6753,7585,50891,1866,43840,9004
2021-01-02 17:00:00,3927,17586,12002,7030,10728,5226,9986,8963,35805,10607,15035,4711,28476,6874,39606,29850,42648,6700,7128,4019,4348,35001,28146,3443,7403,34145,7319,14597,2230,27421,3379,4937,9417,33785,20480,12707,13837,35510,6306,4221,6439,2256,11119,8331,14469,7180,13491,8767,10728,12703,9231,16627,7739,3585,11114,175409,31098,48603,116679,15598,6315,2544,47321,26053,12838,24991,21267,9715,7246,15130,16874,10518,10856,7094,10463,6944,13272,9191,24105,5044,14895,120362,7759,25998,10494,7668,5062,5741,8663,5186,11308,9524,6761,104803,6177,22149,51522,10815,22495,52015,40415,6765,7591,51474,1898,44147,9008
2021-01-03 17:00:00,3982,17618,12079,7065,10753,5255,10042,8983,36232,10672,15142,4736,28510,6883,40090,29946,42854,6739,7142,4106,4364,35063,28447,3476,7439,34475,7340,14657,2230,27541,3382,4980,9520,33945,20732,12943,13906,35578,6334,4225,6483,2258,11165,8401,14475,7267,13512,8808,10735,12727,9280,16714,7750,3591,11303,175770,31377,48658,117028,15684,6371,2553,48110,26350,12866,25055,21405,9882,7270,15243,16902,10528,10912,7164,10479,6997,13402,9258,24217,5046,15193,121944,7876,26173,10561,7699,5098,5757,8710,5234,11386,9623,6815,105154,6223,22279,52466,10853,22568,52423,40895,6825,7611,51824,1927,44755,9026
2021-01-04 17:00:00,4026,17676,12212,7092,10779,5264,10084,9009,36550,10718,15233,4785,28548,6903,40354,29983,43156,6816,7224,4162,4428,35173,28843,3508,7476,34512,7351,14675,2252,27605,3430,5005,9627,34027,20829,13177,14323,35693,6361,4238,6486,2276,11183,8416,15367,7338,13533,8854,10744,12761,9371,16780,7763,3604,11513,176013,31570,48731,117473,15740,6393,2553,48355,26645,13005,25084,21451,9958,7276,15298,16940,10537,10955,7188,10503,7066,13556,9373,24446,5046,15405,121818,7941,26395,10608,7764,5126,5954,8710,5260,11407,9680,6819,105342,6299,22472,52836,10949,22681,52437,41422,6840,7617,52023,1968,44925,9161
2021-01-05 17:00:00,4065,17758,12318,7114,10840,5328,10159,9035,36936,10890,15325,4813,28570,6934,40714,30131,43256,6904,7293,4294,4442,35309,29239,3551,7562,34633,7365,14690,2254,27803,3453,5057,9725,34120,20938,13408,14521,35824,6446,4246,6584,2276,11211,8458,15595,7449,13581,8886,10792,12801,9463,16942,7771,3612,11735,176267,31780,48794,117831,15860,6439,2578,49293,27028,13089,25182,21642,10085,7310,15434,16970,10555,11093,7231,10532,7113,13651,9482,24577,5371,15597,122622,8059,26530,10656,7881,5144,6002,8780,5304,11618,9742,6848,105872,6585,22700,52991,11141,22940,52741,42074,6858,7668,52769,1977,45364,9267
2021-01-06 17:00:00,4138,17853,12487,7140,10881,5357,10289,9017,37534,11080,15591,4851,28706,6964,40996,30451,43937,7053,7353,4385,4467,35517,29688,3621,7727,34792,7503,14805,2254,27958,3504,5205,9839,34266,21126,13574,14570,36017,6545,4255,6622,2278,11284,8494,15954,7607,13669,8930,10881,12848,9599,17216,7786,3651,11942,176994,31980,48969,118503,15900,6565,2593,49777,27513,13174,25473,21907,10305,7357,15580,17020,10568,11199,7401,10549,7174,13804,9634,24868,5425,15717,124064,8199,26829,10739,7968,5173,6195,8857,5355,11911,9814,6922,106452,6667,22903,53941,11305,23169,52836,42578,6948,7703,53425,2015,45959,9354
2021-01-07 17:00:00,4147,18008,12652,7173,10967,5383,10324,9051,37704,11130,15748,4880,28827,7004,41494,30714,44392,7148,7430,4474,4519,35658,30101,3680,7848,35080,7553,14872,2286,28138,3525,5224,9957,34445,21263,13770,14628,36010,6723,4260,6675,2294,11346,8577,15971,7688,13747,9016,10900,12914,9680,17341,7803,3661,12304,177747,32387,49128,119057,15990,6640,2638,50274,27987,13308,25576,21968,10329,7370,15678,17091,10615,11470,7453,10593,7214,14039,9769,25186,5493,15915,125677,8360,27130,10819,8029,5239,6217,8874,5418,12040,9846,6923,106822,6672,23073,54922,11468,23618,53402,43289,7046,7733,54199,2100,46221,9370
2021-01-08 17:00:00,4210,18068,12755,7196,11023,5443,10399,9056,38104,11228,15867,4893,28892,7044,41995,30877,44768,7270,7502,4555,4583,35812,30502,3783,7875,35228,7638,14890,2307,28273,3528,5301,10113,34555,21601,13985,14782,36180,6811,4276,6716,2306,11357,8622,16465,7808,13776,9116,10950,12938,9847,17499,7810,3697,12665,178312,32762,49234,119624,16040,6737,2658,51126,28459,13350,25706,22146,10441,7451,15817,17145,10632,11661,7567,10637,7265,14204,9872,25376,5558,16145,126457,8459,27344,10840,8143,5263,6401,8997,5451,12308,9890,6957,107243,6898,23153,55434,11602,23833,53546,43900,7062,7771,54750,2143,46847,9465
2021-01-09 17:00:00,4367,18179,12967,7218,11093,5462,10579,9102,38598,11389,16054,4910,28954,7089,42394,31257,45181,7397,7551,4647,4620,35973,30940,3889,8018,35455,7715,15029,2355,28472,3588,5404,10266,34671,21849,14197,15025,36386,6946,4292,6781,2307,11419,8698,16469,7989,13889,9185,11023,13000,9960,17743,7845,3714,12948,178953,32949,49429,120399,16130,6843,2682,51664,28776,13454,25889,22376,10645,7526,15954,17195,10648,11886,7692,10676,7306,14373,10009,25658,5605,16270,127638,8605,27577,10911,8312,5319,6598,9067,5506,12580,9994,7014,107985,7152,23295,55953,11742,24331,53633,44405,7163,7821,55450,2198,47300,9520
2021-01-10 17:00:00,4402,18274,13162,7237,11177,5500,10613,9145,39101,11539,16166,4945,29149,7101,42904,31519,45703,7497,7645,4726,4697,36122,31400,3929,8145,35878,7898,15121,2361,28612,3616,5479,10425,34831,21999,14382,15030,36506,7007,4298,6833,2342,11486,8762,16470,8128,14005,9224,11065,13038,10136,17933,7861,3718,13235,179547,33340,49643,121135,16270,6877,2722,51969,29225,13526,26095,22579,10825,7605,16097,17240,10686,12034,7793,10707,7370,14538,10116,25959,5664,16514,129296,8703,27798,11000,8448,5334,6799,9145,5550,12690,10036,7062,108285,7282,23640,56296,11827,24670,54174,44860,7198,7861,55839,2271,47739,9543
